Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website
22,Johns Hopkins University,Baltimore,MD,Private,7825,25151,33586,38542,69863,117100,13,1450,1570,33,35,www.jhu.edu
23,Harvey Mudd College,Claremont,CA,Private,847,861,34464,33782,74428,158200,15,1470,1570,33,35,www.hmc.edu
24,United States Naval Academy,Annapolis,MD,Public,4495,4526,0,,0,152800,8,1150,1370,,,www.usna.edu
25,Swarthmore College,Swarthmore,PA,Private,1577,1630,20511,46105,68846,123200,11,1380,1540,31,34,www.swarthmore.edu
26,Bowdoin College,Brunswick,ME,Private,1816,1965,22810,41143,68070,112000,14,,,,,www.bowdoin.edu
27,Vanderbilt University,Nashville,TN,Private,7006,12592,19959,41359,67392,119100,11,1440,1570,32,35,www.vanderbilt.edu
28,Amherst College,Amherst,MA,Private,1836,1945,22463,49467,71300,116500,13,1400,1560,32,34,https://www.amherst.edu
29,Claremont McKenna College,Claremont,CA,Private,1345,1364,26933,40673,71745,125400,10,1340,1510,30,34,www.claremontmckenna.edu
30,University of Southern California,Los Angeles,CA,Private,20582,45687,30232,36686,72209,120600,16,1300,1500,30,34,www.usc.edu
31,Washington University in St. Louis,St. Louis,MO,Private,8533,15303,28540,41977,71975,114900,16,1470,1570,32,34,www.wustl.edu
32,United States Military Academy,West Point,NY,Public,4491,4568,0,,0,144000,10,1185,1400,23,28,www.usma.edu
33,University of Virginia,Charlottesville,VA,Public,18432,24360,20547,21171,62633,117500,27,1310,1500,29,33,www.virginia.edu
34,Tufts University,Medford,MA,Private,5960,11449,32620,38605,70600,118100,15,1410,1540,31,34,www.tufts.edu
35,New York University,New York,NY,Private,30252,51123,40336,31542,71790,117700,28,1290,1490,29,33,www.nyu.edu
36,Middlebury College,Middlebury,VT,Private,2591,3855,26075,43491,69464,109800,17,1320,1510,30,34,www.middlebury.edu
37,Carnegie Mellon University,Pittsburgh,PA,Private,6941,13869,31102,38163,70094,136100,22,1430,1560,32,35,www.cmu.edu
38,"University of California, Los Angeles",Los Angeles,CA,Public,33148,44027,14309,20011,61915,116100,16,1220,1450,29,34,ucla.edu
39,Bates College,Lewiston,ME,Private,1787,1905,25192,43238,68870,111900,22,,,,,bates.edu
40,Wesleyan University,Middletown,CT,Private,3123,3213,29956,43276,69935,117000,16,,,,,www.wesleyan.edu
41,Boston College,Chestnut Hill,MA,Private,10304,14628,34550,40716,70588,115400,32,1320,1490,31,33,www.bc.edu
42,Washington and Lee University,Lexington,VA,Private,1855,2220,24761,39671,65950,123200,22,1350,1490,31,33,www.wlu.edu
43,United States Air Force Academy,Colorado Springs,CO,Public,4237,4276,0,,0,138100,12,1210,1390,28,32,www.usafa.af.mil
44,Wellesley College,Wellesley,MA,Private,2508,2688,23188,45777,69034,106200,22,1360,1530,30,33,www.wellesley.edu
45,"University of North Carolina, Chapel Hill",Chapel Hill,NC,Public,19429,29911,14163,17291,51152,100800,24,1270,1460,28,33,www.unc.edu
46,Colgate University,Hamilton,NY,Private,2894,3025,23310,45108,69860,130600,28,1310,1500,31,33,www.colgate.edu
47,College of William &amp; Mary,Williamsburg,VA,Public,6822,8740,19720,18738,59012,108900,36,1300,1480,29,33,www.wm.edu
48,Davidson College,Davidson,NC,Private,1810,1959,21206,36359,66678,106900,20,1310,1470,30,33,www.davidson.edu
49,Haverford College,Haverford,PA,Private,1296,1326,26607,45805,71614,112300,20,1390,1530,31,34,www.haverford.edu
50,Barnard College,New York,NY,Private,2544,2668,25007,44776,71282,109800,15,1310,1500,30,33,barnard.edu
51,Santa Clara University,Santa Clara,CA,Private,5754,8629,33738,26671,69439,134700,54,1270,1440,28,32,www.scu.edu
52,Carleton College,Northfield,MN,Private,2078,2155,27898,38342,68835,109900,21,1360,1530,31,34,www.carleton.edu
53,United States Coast Guard Academy,New London,CT,Public,896,1044,0,,0,118100,15,1180,1343,26,31,www.uscga.edu
54,Pitzer College,Claremont,CA,Private,1074,1087,28423,41257,70500,96600,16,,,,,www.pitzer.edu
55,Emory University,Atlanta,GA,Private,7859,14263,26760,38213,66950,110800,22,1350,1520,30,33,www.emory.edu
56,Wake Forest University,Winston-Salem,NC,Private,5068,8116,33382,42495,69130,114800,28,,,,,www.wfu.edu
57,Lafayette College,Easton,PA,Private,2569,2594,30820,39957,68640,122500,31,1260,1440,28,31,www.lafayette.edu
58,Cooper Union,New York,NY,Private,921,946,14564,32452,65045,126200,13,1310,1530,28,34,cooper.edu
59,Hamilton College,Clinton,NY,Private,1901,2043,24140,43611,67670,108100,24,1360,1510,31,33,www.hamilton.edu/index.cfm
60,Scripps College,Claremont,CA,Private,1083,1092,30974,31633,71060,98600,33,1290,1460,29,33,www.scrippscollege.edu
61,Vassar College,Poughkeepsie,NY,Private,2353,2572,23687,44517,70370,100100,24,1330,1500,30,33,www.vassar.edu
62,Babson College,Babson Park,MA,Private,2354,3329,35540,36717,68432,133800,24,1230,1410,27,32,www.babson.edu
63,"University of Maryland, College Park",College Park,MD,Public,32022,40521,18517,8955,49698,113400,45,1280,1470,29,33,www.umd.edu
64,"University of Washington, Seattle",Seattle,WA,Public,38781,46166,12899,14051,51159,112300,46,1190,1420,27,32,uw.edu
65,Georgia Institute of Technology,Atlanta,GA,Public,17223,29376,13291,12779,49366,133400,23,1090,1520,30,34,www.gatech.edu
66,United States Merchant Marine Academy,Kings Point,NY,Public,912,975,6758,3597,8646,140700,22,1210,1280,26,28,www.usmma.edu
67,Lehigh University,Bethlehem,PA,Private,5337,7017,34212,36014,65925,134100,25,1270,1430,29,32,www4.lehigh.edu/default.aspx
68,"University of Illinois, Urbana-Champaign",Champaign,IL,Public,35476,48216,18377,13595,46202,115300,62,1340,1500,26,32,illinois.edu
69,"University of Wisconsin, Madison",Madison,WI,Public,33863,42977,19880,6733,49885,104400,54,1280,1450,27,31,www.wisc.edu
70,University of Florida,Gainesville,FL,Public,37851,52669,12345,6636,43409,102800,42,1240,1400,28,32,www.ufl.edu
71,Kenyon College,Gambier,OH,Private,1677,1795,30504,34966,69180,103800,34,1263,1460,29,33,www.kenyon.edu/index.xml
72,Villanova University,Villanova,PA,Private,7873,10967,41858,30163,68231,119500,36,1250,1440,30,33,www.villanova.edu
73,Bucknell University,Lewisburg,PA,Private,3678,3740,40976,29783,70125,122900,31,1250,1420,28,31,www.bucknell.edu
74,Boston University,Boston,MA,Private,22829,33355,37065,34156,70302,113600,25,1300,1480,29,32,www.bu.edu
75,Colby College,Waterville,ME,Private,1917,2032,20739,45463,68582,103300,16,1340,1500,31,33,www.colby.edu
76,"University of Texas, Austin",Austin,TX,Public,42827,51525,16960,10644,51786,112800,36,1220,1460,26,33,www.utexas.edu
77,College of the Holy Cross,Worcester,MA,Private,2806,2855,34159,36963,66220,114600,40,,,,,www.holycross.edu
78,George Washington University,Washington,DC,Private,12358,27973,31956,29429,69368,115300,41,1280,1440,29,32,www.gwu.edu
79,"University of California, San Diego",San Diego,CA,Public,29613,35772,14630,18231,60177,123700,34,1210,1410,27,33,www.ucsd.edu
80,Grinnell College,Grinnell,IA,Private,1712,1765,22844,33946,66214,96500,29,1310,1510,30,34,www.grinnell.edu
81,Smith College,Northampton,MA,Private,2594,2918,24829,39913,69563,98200,32,,,,,www.smith.edu
82,University of Rochester,Rochester,NY,Private,6905,11648,30480,30658,70108,112700,34,1300,1490,29,33,www.rochester.edu
83,University of Richmond,Richmond,VA,Private,3815,4023,26264,38394,64890,107500,33,1270,1460,29,32,www.richmond.edu
84,"University of California, Santa Barbara",Santa Barbara,CA,Public,22910,25057,15764,19558,64125,116300,33,1190,1400,28,33,www.ucsb.edu
85,Oberlin College,Oberlin,OH,Private,2853,3030,31331,28876,71330,96800,34,1280,1450,28,33,www.oberlin.edu
86,Macalester College,St. Paul,MN,Private,2136,2249,26865,33335,66280,100400,41,1300,1480,29,32,www.macalester.edu
87,"University of California, Irvine",Irvine,CA,Public,28947,35242,13376,18824,61872,116000,37,1170,1350,25,32,www.uci.edu
88,"University of California, Davis",Davis,CA,Public,31437,37380,15737,18690,63743,112600,43,1130,1360,25,32,www.ucdavis.edu
89,Whitman College,Walla Walla,WA,Private,1510,1574,43488,23828,64504,102600,52,1140,1380,28,32,www.whitman.edu
90,University of Miami (FL),Coral Gables,FL,Private,12002,17003,29184,20647,66274,99600,36,1230,1420,28,32,www.miami.edu
91,Southern Methodist University,Dallas,TX,Private,6917,11789,32190,33203,72408,110400,49,1270,1440,28,32,www.smu.edu
92,Colorado College,Colorado Springs,CO,Private,2118,2450,34032,36872,68616,97900,15,,,,,www.coloradocollege.edu
93,Worcester Polytechnic Institute,Worcester,MA,Private,4654,6642,40376,19515,65046,135500,48,,,,,www.wpi.edu
94,Colorado School of Mines,Golden,CO,Public,4811,6209,25710,10725,52698,139600,56,1310,1450,28,32,www.mines.edu
95,Brigham Young University,Provo,UT,Private,34334,35807,12974,4843,18370,108000,52,1210,1410,27,32,www.byu.edu
96,Brandeis University,Waltham,MA,Private,3869,5721,31138,35487,70943,113200,34,1280,1470,29,33,www.brandeis.edu
97,Yeshiva University,New York,NY,Private,2884,6330,36306,26972,60525,112800,63,1160,1420,23,29,www.yu.edu
98,"University of Minnesota, Twin Cities",Minneapolis,MN,Public,45796,51848,17396,8760,39655,104000,50,1270,1480,26,31,www.umn.edu
99,University of Georgia,Athens,GA,Public,30690,37606,14625,10076,44978,100700,54,1200,1370,26,31,www.uga.edu
100,Case Western Reserve University,Cleveland,OH,Private,5292,11824,35316,28295,65384,117800,33,1340,1520,30,33,www.case.edu
101,Skidmore College,Saratoga Springs,NY,Private,2684,2835,27410,41746,69450,99700,25,1205,1400,27,31,www.skidmore.edu
102,Occidental College,Los Angeles,CA,Private,1972,2123,29211,35704,71756,105700,42,1280,1440,27,32,www.oxy.edu
103,"Texas A&amp;M University, College Station",College Station,TX,Public,53515,67929,20282,8748,53848,115700,71,1140,1360,25,30,www.tamu.edu
104,Union College (NY),Schenectady,NY,Private,2214,2267,32720,29135,68610,117500,37,,,,,www.union.edu
105,Reed College,Portland,OR,Private,1470,1490,31815,35130,69820,104900,36,1310,1500,30,33,www.reed.edu
106,Tulane University,New Orleans,LA,Private,8873,12384,34240,33035,69764,105300,21,1330,1490,30,33,www.tulane.edu
107,Bentley University,Waltham,MA,Private,4352,5543,35671,26565,66180,116600,44,1210,1380,27,31,www.bentley.edu
108,Virginia Tech,Blacksburg,VA,Public,26634,34440,20343,8261,44024,114000,70,1180,1360,25,30,vt.edu
109,Trinity College (CT),Hartford,CT,Private,2282,2401,31808,40346,71470,110900,34,1260,1420,28,32,www.trincoll.edu/Pages/default.aspx
110,Rose-Hulman Institute of Technology,Terre Haute,IN,Private,2245,2254,36906,20967,65031,135800,61,1260,1450,27,32,www.rose-hulman.edu
111,Bryn Mawr College,Bryn Mawr,PA,Private,1442,1640,25672,37710,68410,95300,38,1310,1500,29,33,www.brynmawr.edu
112,Rhode Island School of Design,Providence,RI,Private,2030,2440,46277,26169,67620,100600,32,1130,1370,25,31,www.risd.edu
113,Rensselaer Polytechnic Institute,Troy,NY,Private,6371,7592,34839,30596,70132,134100,43,1320,1500,28,32,www.rpi.edu
114,Franklin and Marshall College,Lancaster,PA,Private,2283,2440,27531,43377,70430,109700,34,,,,,fandm.edu
115,"California Polytechnic State University, San Luis Obispo",San Luis Obispo,CA,Public,21098,22370,19979,5891,39033,119500,35,1200,1380,26,31,calpoly.edu
116,St. Olaf College,Northfield,MN,Private,3035,3137,24250,28573,58330,101900,43,1150,1400,25,31,wp.stolaf.edu
117,Pennsylvania State University,State College,PA,Public,43709,47119,30373,10060,51572,105500,50,1160,1340,25,30,www.psu.edu
118,Purdue University,West Lafayette,IN,Public,32534,42699,13746,10703,41614,110000,57,1150,1380,25,31,www.purdue.edu
119,The Juilliard School,New York,NY,Private,590,927,32829,29417,62600,97400,6,,,,,
120,Dickinson College,Carlisle,PA,Private,2382,2422,28464,34171,69071,100100,49,,,,,www.dickinson.edu
121,Ohio State University,Columbus,OH,Public,49185,59837,17726,9730,46141,98600,48,1260,1450,27,31,www.osu.edu
122,Wheaton College (IL),Wheaton,IL,Private,2544,2900,28005,16173,47696,99700,85,1230,1410,27,32,www.wheaton.edu
123,Rutgers University,New Brunswick,NJ,Public,40523,49577,20379,13896,47518,111000,58,1190,1400,,,www.rutgers.edu
124,Loyola Marymount University,Los Angeles,CA,Private,6591,9618,40676,19787,64735,113300,52,1180,1360,26,31,www.lmu.edu
125,University of Portland,Portland,OR,Private,3967,4396,35329,23282,59236,104900,70,1140,1320,23,29,www.up.edu
126,American University,Washington,DC,Private,8606,13858,36567,29412,64234,102900,29,1180,1350,26,30,www.american.edu
127,Furman University,Greenville,SC,Private,2863,2949,27508,30434,63706,98800,61,1190,1380,26,31,www2.furman.edu/Pages/default.aspx
128,Connecticut College,New London,CT,Private,1817,1928,30244,39603,69440,100800,38,,,,,www.conncoll.edu
129,Pepperdine University,Malibu,CA,Private,3803,7710,33814,31980,70862,103900,40,1200,1390,26,31,www.pepperdine.edu
130,University of Connecticut,Storrs,CT,Public,20662,27578,20681,13630,53112,105200,48,1210,1390,26,31,uconn.edu
131,"Indiana University, Bloomington",Bloomington,IN,Public,41317,43710,14351,11647,48739,97100,76,1140,1350,25,31,www.indiana.edu
132,DePauw University,Greencastle,IN,Private,2158,2253,22323,31570,62567,101000,67,1110,1330,24,29,www.depauw.edu
133,Elon University,Elon,NC,Private,6214,6791,34459,14061,49642,93700,67,1140,1330,25,29,www.elon.edu
134,Clemson University,Clemson,SC,Public,19506,24387,17696,10296,50516,106700,47,1220,1390,27,31,www.clemson.edu
135,Fairfield University,Fairfield,CT,Private,4511,5192,36929,24180,64325,116900,61,,,,,www.fairfield.edu
136,James Madison University,Harrisonburg,VA,Public,21167,21836,20204,8556,42522,102600,75,1100,1260,23,28,www.jmu.edu
137,Mount Holyoke College,South Hadley,MA,Private,2334,2393,26239,31370,63900,92100,51,1270,1463,29,33,https://www.mtholyoke.edu
138,Gettysburg College,Gettysburg,PA,Private,2411,2615,27597,29795,66710,109300,46,,,,,www.gettysburg.edu
139,"North Carolina State University, Raleigh",Raleigh,NC,Public,26961,34432,15024,10998,42048,106500,51,1230,1390,26,31,www.ncsu.edu
140,University of Denver,Denver,CO,Private,6080,11434,32174,26702,65376,105100,58,1160,1350,25,30,www.du.edu
141,Fordham University,Bronx,NY,Private,10137,16037,35694,27530,72239,112500,46,1230,1410,27,31,www.fordham.edu
142,University of San Diego,San Diego,CA,Private,6177,8905,34752,24364,65426,109400,50,1180,1350,26,30,www.sandiego.edu
143,Trinity University (TX),San Antonio,TX,Private,2406,2571,23144,26174,56880,102900,38,1230,1410,27,32,web.trinity.edu
144,University of Pittsburgh,Pittsburgh,PA,Public,20822,28642,28331,12484,44812,100400,60,1240,1418,27,32,www.pitt.edu
145,"Binghamton University, SUNY",Binghamton,NY,Public,14736,17351,18378,8062,40980,109600,40,1290,1431,28,31,www.binghamton.edu
146,"University of Colorado, Boulder",Boulder,CO,Public,30976,35338,20706,9787,54312,109900,80,1150,1340,25,30,www.colorado.edu
147,University of Delaware,Newark,DE,Public,20550,23774,16892,8798,47782,105400,63,1130,1330,25,29,www.udel.edu
148,Texas Christian University,Fort Worth,TX,Private,9258,10489,35429,24864,62970,98700,41,1130,1330,25,30,www.tcu.edu
149,College of New Jersey,Ewing,NJ,Public,7212,7552,26670,9936,45897,101800,48,1170,1330,,,tcnj.edu
150,Rhodes College,Memphis,TN,Private,2010,2102,25629,30234,61538,97800,51,1220,1410,27,32,www.rhodes.edu
151,Florida State University,Tallahassee,FL,Public,36787,41362,14582,6628,34904,92700,49,1190,1330,26,30,www.fsu.edu
152,Stevens Institute of Technology,Hoboken,NJ,Private,3144,6916,36620,25762,67204,139900,44,1320,1470,29,33,www.stevens.edu/sit
153,Denison University,Granville,OH,Private,2290,2341,24808,30783,64970,104800,37,1200,1380,28,31,denison.edu
154,Sewanee—University of the South,Sewanee,TN,Private,1778,1835,27544,23449,60950,97800,47,,,,,www.sewanee.edu
155,"University of Massachusetts, Amherst",Amherst,MA,Public,26735,30340,20926,8867,48135,103000,58,1180,1360,26,31,www.umass.edu
156,Syracuse University,Syracuse,NY,Private,22484,28199,34173,27878,65480,104800,47,1160,1350,25,30,syracuse.edu
157,Sarah Lawrence College,Bronxville,NY,Private,1470,1696,33358,28916,70266,96100,53,1240,1410,27,31,www.slc.edu
158,St. Lawrence University,Canton,NY,Private,2468,2493,27691,31866,68296,104000,48,1205,1365,26,30,www.stlawu.edu
159,Michigan State University,East Lansing,MI,Public,42252,50019,18576,10911,53424,100800,72,1100,1320,23,28,www.msu.edu
160,University of Iowa,Iowa City,IA,Public,27051,32166,15103,8045,44251,99400,86,1140,1370,23,28,www.uiowa.edu
161,Saint Louis University,St. Louis,MO,Private,14373,14581,27341,23580,57214,95300,64,1170,1390,25,31,www.slu.edu
162,Seattle University,Seattle,WA,Private,5250,7278,35021,22438,59607,113700,74,1130,1330,24,29,www.seattleu.edu/default.aspx
163,Manhattan School of Music,New York,NY,Private,451,1007,47116,24906,66200,,43,,,,,
164,Kalamazoo College,Kalamazoo,MI,Private,1436,1469,23579,29059,59267,94500,73,1180,1380,26,30,www.kzoo.edu
165,University of Dayton,Dayton,OH,Private,8660,10882,32721,21293,57680,105000,72,1100,1310,24,29,www.udayton.edu
166,Auburn University,Auburn,AL,Public,23846,29776,23416,9030,49954,104500,84,1130,1310,24,30,www.auburn.edu
167,Saint Joseph's University (PA),Philadelphia,PA,Private,5705,8085,33480,23892,60854,105100,77,1110,1290,23,28,www.sju.edu
168,University of Vermont,Burlington,VT,Public,12945,13340,18877,16347,56890,99400,67,1180,1350,25,30,www.uvm.edu
169,Samford University,Birmingham,AL,Private,3446,5509,29032,14879,46474,90500,83,1080,1280,23,29,www.samford.edu
170,Gonzaga University,Spokane,WA,Private,5333,7506,32623,21169,57350,107600,65,1180,1350,26,30,www.gonzaga.edu
171,Wofford College,Spartanburg,SC,Private,1678,1737,24722,28158,57749,96600,69,1120,1310,29,30,www.wofford.edu
172,Providence College,Providence,RI,Private,4484,4646,38823,26359,64984,106900,52,1160,1330,26,30,www.providence.edu/Pages/default.aspx
173,University of Puget Sound,Tacoma,WA,Private,2545,2701,37074,21534,63510,101300,84,,,,,www.pugetsound.edu
174,"CUNY, Baruch College",New York,NY,Public,18289,18775,2695,8944,39172,107100,29,1190,1350,,,www.baruch.cuny.edu
175,Loyola University Maryland,Baltimore,MD,Private,4175,5783,36350,26091,64520,111200,75,,,,,www.loyola.edu
176,"SUNY, Stony Brook (Stony Brook University)",Stony Brook,NY,Public,19871,25989,13770,9968,42981,107800,42,1210,1410,26,31,www.stonybrook.edu
177,George Mason University,Fairfax,VA,Public,32249,35984,19779,8567,51672,105700,81,1100,1290,24,30,www.gmu.edu
178,Chapman University,Orange,CA,Private,6756,9392,39228,26378,69464,99400,57,1190,1360,25,30,www.chapman.edu
179,Muhlenberg College,Allentown,PA,Private,2367,2535,31014,25282,65330,101900,48,1140,1340,25,30,www.muhlenberg.edu
180,Marquette University,Milwaukee,WI,Private,8486,11426,29120,20717,55273,105900,89,1130,1310,24,29,www.marquette.edu
181,San Diego State University,San Diego,CA,Public,31609,35158,14030,7549,40104,102800,35,1090,1290,23,28,www.sdsu.edu
182,Northeastern University,Boston,MA,Private,18760,21489,29748,34691,68177,109700,27,1370,1520,32,34,www.northeastern.edu
183,"University of California, Santa Cruz",Santa Cruz,CA,Public,17925,19457,17877,18050,64054,104700,51,1160,1340,26,31,www.ucsc.edu
184,Lewis &amp; Clark College,Portland,OR,Private,2174,3339,34838,25539,62086,93200,71,1210,1390,27,31,www.lclark.edu
185,Miami University (OH),Oxford,OH,Public,18239,19700,21288,11894,51064,107300,68,1190,1380,26,31,miamioh.edu
186,"Arizona State University, Tempe",Tempe,AZ,Public,46038,51164,11163,12081,44110,100900,84,1120,1350,22,29,www.asu.edu
187,University of Utah,Salt Lake City,UT,Public,28686,32800,13728,7990,42916,102600,66,1110,1350,22,29,www.utah.edu
188,"University of Oklahoma, Norman",Norman,OK,Public,24255,28527,19254,9372,43764,100600,74,1150,1380,23,29,www.ou.edu
189,Marist College,Poughkeepsie,NY,Private,6236,6657,35290,15637,54880,101000,43,,,,,www.marist.edu
190,Hobart and William Smith Colleges,Geneva,NY,Private,2244,2295,35172,25110,69775,108500,64,1150,1330,25,30,www.hws.edu
191,University of Oregon,Eugene,OR,Public,22400,22887,15693,8662,49542,95800,83,1080,1270,22,28,www.uoregon.edu
192,Drake University,Des Moines,IA,Private,3606,4904,27578,21239,54020,99900,69,1100,1350,24,30,www.drake.edu
193,Lawrence University,Appleton,WI,Private,1467,1545,25117,28643,58458,98800,61,1220,1460,25,32,www.lawrence.edu
194,Creighton University,Omaha,NE,Private,4626,8654,30427,20293,53452,95800,72,1070,1290,25,30,www.creighton.edu
195,Hillsdale College,Hillsdale,MI,Private,1520,1556,,18540,40552,,41,1280,1440,28,32,www.hillsdale.edu
196,University at Buffalo (SUNY),Buffalo,NY,Public,23075,30648,17469,8198,43398,98000,57,1080,1260,24,28,www.buffalo.edu
197,University of Tulsa,Tulsa,OK,Private,3630,4433,23948,31812,59435,107200,39,1150,1440,25,32,www.utulsa.edu
198,University of Saint Thomas (MN),St. Paul,MN,Private,6424,9878,30503,21274,54647,106400,84,1090,1330,24,29,www.stthomas.edu
199,"University of California, Riverside",Riverside,CA,Public,21017,23279,12344,21249,62677,106900,57,1090,1300,23,29,ucr.edu
200,Manhattan College,Riverdale,NY,Private,3727,4242,30243,18177,60212,125700,75,1050,1243,23,28,www.manhattan.edu
201,University of South Carolina,Columbia,SC,Public,26791,34731,19519,5792,47162,89900,72,1170,1330,25,30,www.sc.edu
202,Baylor University,Waco,TX,Private,14951,17059,34898,21350,60233,101400,39,1190,1360,26,31,www.baylor.edu
203,Bryant University,Smithfield,RI,Private,3503,3751,37730,20675,59904,108600,73,,,,,www.bryant.edu
204,University of Mary Washington,Fredericksburg,VA,Public,4800,4808,21227,5562,42716,98200,73,1080,1260,22,27,www.umw.edu
205,Virginia Military Institute,Lexington,VA,Public,1722,1766,19905,14434,56288,120600,53,1100,1280,23,28,www.vmi.edu
206,Clark University (MA),Worcester,MA,Private,2476,3153,27004,24329,55010,101400,56,,,,,www.clarku.edu
207,Clarkson University,Potsdam,NY,Private,3335,4233,30563,32540,66106,130100,66,1143,1330,24,29,www.clarkson.edu
208,Illinois Institute of Technology,Chicago,IL,Private,3227,7164,22098,34485,63749,118500,54,1230,1410,25,31,www.iit.edu
209,Centre College,Danville,KY,Private,1443,1450,23237,26184,53910,88500,76,1170,1410,26,31,www.centre.edu
210,University of San Francisco,San Francisco,CA,Private,7495,11063,32210,27943,65980,109900,66,1100,1290,22,28,www.usfca.edu
211,Iowa State University,Ames,IA,Public,32814,36158,14331,7882,34442,101300,89,1160,1410,22,28,www.iastate.edu
212,Louisiana State University,Baton Rouge,LA,Public,27658,30861,18181,9304,46381,102900,74,1060,1290,23,28,www.lsu.edu
213,Willamette University,Salem,OR,Private,2181,2498,28327,27489,62262,97700,89,,,,,www.willamette.edu
214,Gustavus Adolphus College,St. Peter,MN,Private,2181,2263,20050,24333,55800,96800,68,,,,,https://gustavus.edu
215,Quinnipiac University,Hamden,CT,Private,7704,10200,38695,22460,63770,97700,74,1080,1260,23,27,www.quinnipiac.edu
216,Butler University,Indianapolis,IN,Private,4311,5145,36413,16348,56740,99300,65,1150,1320,25,30,www.butler.edu
217,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,1825,2213,17923,7628,36953,97000,52,1150,1300,24,28,www.esf.edu
218,University of Arizona,Tucson,AZ,Public,36862,43751,14744,11272,51707,101000,84,,,,,www.arizona.edu
219,"University of Missouri, Columbia",Columbia,MO,Public,27923,30844,18602,9316,43330,98600,78,1120,1350,23,29,www.missouri.edu
220,The Citadel,Charleston,SC,Public,3043,3717,17935,11281,50506,108100,81,1020,1220,20,25,www.citadel.edu/root
221,University of Washington Bothell,Bothell,WA,Public,5981,6175,9822,12946,51348,108000,80,1030,1230,19,26,https://www.uwb.edu
222,Emerson College,Boston,MA,Private,4088,4459,43965,20323,65324,94300,46,1200,1360,26,30,www.emerson.edu
223,"Colorado State University, Fort Collins",Fort Collins,CO,Public,28404,33083,17058,8221,43437,96100,83,1100,1300,22,28,www.colostate.edu
224,"University of Tennessee, Knoxville",Knoxville,TN,Public,23803,28321,19335,8903,49350,95100,77,1140,1310,24,30,www.utk.edu
225,Taylor University,Upland,IN,Private,2145,2831,24525,17726,45330,90600,87,1045,1290,22,29,www.taylor.edu
226,Drexel University,Philadelphia ,PA,Private,17789,24190,37427,28767,68792,114800,79,1160,1360,24,30,www.drexel.edu
227,Stonehill College,Easton,MA,Private,2498,2536,32911,22865,59560,103200,72,,,,,www.stonehill.edu
228,University of South Florida,Tampa,FL,Public,37076,43540,11700,7937,32324,91300,45,1150,1310,24,29,www.usf.edu
